Source_Material,Outcome,Specimen_Storage_Time_Comparison,ICC_adjusted,ICC_adjusted_CI_lower,ICC_adjusted_CI_upper
Buccal Cells,RA_clr_Rothia,5 Years,0.842412937100452,0.584037098074866,0.933450683345126
Buccal Cells,RA_clr_Veillonella,1 Month,0.876924724087064,0.719547082605087,0.955384597820377
Buccal Cells,RA_clr_Veillonella,12 Months,0.850454693123763,0.667880768469172,0.929335657383515
Buccal Cells,RA_clr_Veillonella,5 Years,0.747981584114559,0.381533891505423,0.895029595056699
Buccal Cells,RA_clr_Gemella,1 Month,0.971858527573802,0.930875045579719,0.989584315000702
Buccal Cells,RA_clr_Gemella,12 Months,0.939304436401994,0.804315984752117,0.981065092265033
Buccal Cells,RA_clr_Gemella,5 Years,0.868187329074957,0.664294544392547,0.941546580018208
Buccal Cells,RA_clr_Actinomyces,1 Month,0.829716603019086,0.602675938360895,0.926139255711842
Buccal Cells,RA_clr_Actinomyces,12 Months,0.903556442135971,0.810571072412521,0.967614905859375
Buccal Cells,RA_clr_Actinomyces,5 Years,0.87757283842988,0.728257334189781,0.957218878637683
Buccal Cells,RA_clr_Haemophilus,1 Month,0.939183788889644,0.877268439201058,0.973711471166532
Buccal Cells,RA_clr_Haemophilus,12 Months,0.937261211357599,0.852747349428653,0.972906890536154
Buccal Cells,RA_clr_Haemophilus,5 Years,0.913300012015025,0.786800467558554,0.965380888639577
Buccal Cells,RA_clr_Granulicatella,1 Month,0.848141518901932,0.701980522111983,0.946531603570135
Buccal Cells,RA_clr_Granulicatella,12 Months,0.693706203429982,0.444266855246594,0.867016909511927
Buccal Cells,RA_clr_Granulicatella,5 Years,0.638410568474243,0.303230444356759,0.852910457578942
Saliva,observed_features,1 Month,0.952159856204494,0.895119291933543,0.984208363885689
Saliva,observed_features,12 Months,0.92905128043562,0.819472321587553,0.966843586558369
Saliva,observed_features,5 Years,0.894442613988219,0.732882325254654,0.9597319887009
Saliva,shannon_entropy,1 Month,0.9414987106927,0.883140775644429,0.975466292801369
Saliva,shannon_entropy,12 Months,0.937873366914063,0.840115109996815,0.970316523282646
Saliva,shannon_entropy,5 Years,0.896818151729238,0.720174329403771,0.952733456340042
Saliva,pielou_evenness,1 Month,0.882968273691918,0.732698685335442,0.945657755787156
Saliva,pielou_evenness,12 Months,0.883848897851146,0.692953193245063,0.94792365994142
Saliva,pielou_evenness,5 Years,0.862833607347362,0.703562979059142,0.951170404605389
Saliva,faith_pd,1 Month,0.928978362529043,0.822529200156442,0.972338261432851
Saliva,faith_pd,12 Months,0.924054345065518,0.793467609063491,0.974527848951186
Saliva,faith_pd,5 Years,0.880643991631436,0.753530768548379,0.96158821029444
Saliva,bray_curtis_PC1,1 Month,0.981501962760084,0.957832875172433,0.991699525365326
Saliva,bray_curtis_PC1,12 Months,0.980218151317566,0.957514691225223,0.991046780026549
Saliva,bray_curtis_PC1,5 Years,0.979781667024393,0.949257327195074,0.991997715414098
Saliva,bray_curtis_PC2,1 Month,0.982262433201317,0.95306187662687,0.994431265751454
Saliva,bray_curtis_PC2,12 Months,0.984051113412088,0.969465553116105,0.993434702274182
Saliva,bray_curtis_PC2,5 Years,0.959577434146568,0.916990070443579,0.982576063578518
Saliva,jaccard_PC1,1 Month,0.968929904850393,0.914560105166136,0.989970317243587
Saliva,jaccard_PC1,12 Months,0.977439836159056,0.947001223761945,0.991704079814012
Saliva,jaccard_PC1,5 Years,0.965854067433655,0.908261774102623,0.990717901224208
Saliva,jaccard_PC2,1 Month,0.988568359673872,0.96540807672037,0.996005444557162
Saliva,jaccard_PC2,12 Months,0.995009077271318,0.987458076450836,0.998009866330382
Saliva,jaccard_PC2,5 Years,0.987457323431376,0.962913374845451,0.995090102206546
Saliva,unweighted_unifrac_PC1,1 Month,0.946889571731742,0.830810718323939,0.979920732146388
Saliva,unweighted_unifrac_PC1,12 Months,0.941398097435532,0.829942078865981,0.976611782915063
Saliva,unweighted_unifrac_PC1,5 Years,0.953338782872035,0.900753238492691,0.984341122489785
Saliva,unweighted_unifrac_PC2,1 Month,0.959054411428416,0.890553115066883,0.986215452516854
Saliva,unweighted_unifrac_PC2,12 Months,0.954377881180013,0.826459237789076,0.983451393401892
Saliva,unweighted_unifrac_PC2,5 Years,0.937196426389298,0.843778948260981,0.972080440843465
Saliva,generalized_unifrac_PC1,1 Month,0.930264084816367,0.864061612249584,0.972024532532823
Saliva,generalized_unifrac_PC1,12 Months,0.896909364085685,0.754018388053806,0.957066482188158
Saliva,generalized_unifrac_PC1,5 Years,0.894115008882683,0.646080234303718,0.95365288840338
Saliva,generalized_unifrac_PC2,1 Month,0.947737199346933,0.860522395583574,0.979193111012161
Saliva,generalized_unifrac_PC2,12 Months,0.961147347093348,0.905407004565722,0.985908080776523
Saliva,generalized_unifrac_PC2,5 Years,0.905481542753986,0.771058980613391,0.969262350829383
Saliva,weighted_unifrac_PC1,1 Month,0.920552431294202,0.749485951514439,0.969222052719303
Saliva,weighted_unifrac_PC1,12 Months,0.877794125437438,0.73883011950021,0.942411478340821
Saliva,weighted_unifrac_PC1,5 Years,0.855360469487314,0.677242399934212,0.92065004113481
Saliva,weighted_unifrac_PC2,1 Month,0.948824717419658,0.854881358400129,0.986015145686992
Saliva,weighted_unifrac_PC2,12 Months,0.975290721766036,0.94132584548518,0.992719595852105
Saliva,weighted_unifrac_PC2,5 Years,0.949519628490264,0.878872551236782,0.978296460291208
Saliva,RA_Neisseria,1 Month,0.948963290537897,0.819680533608507,0.979270641475123
Saliva,RA_Neisseria,12 Months,0.966336988560151,0.919008804301484,0.990638570180306
Saliva,RA_Neisseria,5 Years,0.974933365077338,0.926334852230136,0.989276300590337
Saliva,RA_Megasphaera,1 Month,0.934537840710621,0.842837049863076,0.969949186455561
Saliva,RA_Megasphaera,12 Months,0.949221428534921,0.894904177611351,0.980673708440672
