Sample_ID,Sample_Type,Subject_ID,Total_Reads,Specimen_Storage_Time,DNA_Storage_Time,Extraction_Method,Source_Material,Specimen_Storage_Temp,observed_features,shannon_entropy,pielou_evenness,faith_pd,bray_curtis_PC1,bray_curtis_PC2,jaccard_PC1,jaccard_PC2,unweighted_unifrac_PC1,unweighted_unifrac_PC2,generalized_unifrac_PC1,generalized_unifrac_PC2,weighted_unifrac_PC1,weighted_unifrac_PC2,RA_Neisseria,RA_Megasphaera,RA_Prevotella,RA_Streptococcus,RA_Fusobacterium,RA_Leptotrichia,RA_Alloprevotella,RA_Porphyromonas,RA_Rothia,RA_Veillonella,RA_Gemella,RA_Actinomyces,RA_Haemophilus,RA_Granulicatella,RA_clr_Neisseria,RA_clr_Megasphaera,RA_clr_Prevotella,RA_clr_Streptococcus,RA_clr_Fusobacterium,RA_clr_Leptotrichia,RA_clr_Alloprevotella,RA_clr_Porphyromonas,RA_clr_Rothia,RA_clr_Veillonella,RA_clr_Gemella,RA_clr_Actinomyces,RA_clr_Haemophilus,RA_clr_Granulicatella
SC422899-MB4,Study,TV 0009,47275,Month12,Month6,KingFisher,Buccal Cells,-80C,94,4.50234364517697,0.686899475628376,8.65927609935616,0.0665914352948947,0.000727916478149573,0.00704284027392354,-0.206548481076147,0.0753976305171198,0.126112908259595,-0.0232349335097587,-0.0307884129841742,-0.0620282879618896,-0.0131015422342045,0.0670544685351666,0.00873611845584347,0.158096245372819,0.294531993654151,0.0121840296139609,0.0029402432575357,0.0251507139079852,0.00761501850872554,0.110904283447911,0.0637123215230037,0.120782654680063,0.014151242728715,0.0768693812797462,0.0162665256478054,4.02068210444268,2.07621623443082,4.86988304793216,5.48915081257469,2.37937993140122,1.17161617392734,3.06425020266691,1.95388073043978,4.51801760586585,3.9703253362575,4.60261164895719,2.51845626892133,4.15540653603586,2.64914340548053
SC422900-MB4,Study,TV 0025,44883,Month12,Month6,KingFisher,Buccal Cells,-80C,107,4.46960581472316,0.663001958437121,9.52236310993538,0.119325563381962,-0.00299666372060242,0.00281713622535166,-0.0908192155972874,-0.00254022516696481,0.0602720427777658,0.0220419529793987,-0.00472986926375688,0.0376491711379999,-0.00479970196463542,0.0356705211327229,0.00184925250094691,0.284272441681706,0.281108660294544,0.0245081656752,0.00641668337677963,0.103959182764075,0.00285185927856872,0.0307688879976829,0.0473676002049774,0.0224583918187287,0.0153510237729207,0.0747499053093599,0.0112514760599782,3.37811402552998,0.823197511638588,5.4295854915074,5.41843314904382,3.01513945558999,1.77987280511959,4.42971237112907,1.12469679335419,3.23462827815115,3.65497100443933,2.93136912307841,2.57043134359278,4.10357802647629,2.28178725655298
SC422901-MB4,Study,TV 0013,34844,Month12,Month6,KingFisher,Buccal Cells,-80C,138,5.22191567490974,0.734599100933036,9.98679044381859,0.0932031498656791,0.0317700288793437,0.0859774879669102,-0.149511915393097,0.0294917399109417,0.045305114969319,0.0251760431016787,-0.00600930185538343,0.0333300081589393,0.0151123994682852,0.00929858799219378,0.00829411089427161,0.258667202387786,0.297095626219722,0.0193433589714155,0.0144357708644243,0.0175926988864654,0.00464929399609689,0.0649179198714269,0.0892836643324532,0.0565951096315004,0.0140052806796005,0.0713465732981288,0.0120250258294111,2.08791638015039,1.98529054485353,5.31531040276013,5.45332391083368,2.76866410060574,2.49259718178127,2.67867855312094,1.48744016335637,3.9443199122036,4.25886612210401,3.80934724431531,2.46431176690426,4.03737767155911,2.32278215315042
SC422902-MB4,Study,TV 0005,38499,Month12,Month6,KingFisher,Buccal Cells,-80C,142,5.35257500172749,0.748638366121445,11.1337537095515,0.0737061233260039,-0.0366920918449296,-0.107903209941297,0.0253190727791291,-0.0791059040071341,-0.0319105124861037,0.00490504435874823,0.00262338832234519,0.00119140440546333,0.0223465443673162,0.0136107431361854,0.00810410660017143,0.226343541390685,0.291773812306813,0.0398711654848178,0.0332216421205746,0.069326476012364,0.00805215719888828,0.0270656380685213,0.0666251071456401,0.0365723785033377,0.0205200135068443,0.0472999298683083,0.0186498350606509,2.40662432115693,1.93359281826125,5.15132950343346,5.40426757103256,3.43529204583608,3.25772548625966,3.97801557438838,1.92787032561372,3.05941321530677,3.93884655336227,3.35113639794978,2.793850594723,3.60229734044372,2.70293617620819
SC422903-MB4,Study,TV 0002,32384,Month12,Month6,KingFisher,Buccal Cells,-80C,84,4.57944009623607,0.716397480500173,8.18571998617558,0.166564204729426,0.151302225998126,0.0391735977066422,-0.207017555019118,0.109013047381085,0.136632320889241,0.0315493736122128,-0.000874497420747645,0.0444920780507465,0.0264898992120797,0.0323307806324111,0.0104063735177866,0.284121788537549,0.330718873517787,0.0111783596837945,0.003612895256917,0.029983942687747,0.00182188735177866,0.0774765316205534,0.0822937252964427,0.00790513833992095,0.0171689723320158,0.0617897727272727,0.0126605731225296,3.30138185428599,2.22907282060691,5.44781695811804,5.59918838462067,2.29456112121541,1.32375623917793,3.22836963339983,0.832306475692796,4.15770016076926,4.21727376068844,1.98152899263088,2.69461586323258,3.93469274647678,2.40941435044998
SC422904-MB4,Study,TV 0021,38155,Month12,Month6,KingFisher,Buccal Cells,-80C,112,4.59340367675948,0.674770704532484,9.76667109937767,0.0274284724092132,-0.12674887968648,-0.110053908391818,0.0420883492705967,-0.0313989587791188,0.0397754699168015,-0.0174159706088211,-0.0387390191711441,-0.0466773649350352,-0.0476702353027589,0.0759271393002228,0.00372166164329708,0.174446337308348,0.299882060018346,0.0429563622067881,0.01934215699122,0.0367972742759796,0.00272572402044293,0.117048879570174,0.0434805399030271,0.0302974708426156,0.00752194994103001,0.0688769492858079,0.00560870134975757,4.10271846294435,1.31202051263155,4.92719295774114,5.46657809269827,3.5430571056787,2.77255516367913,3.39209672283978,1.07512093276397,4.53095850425544,3.55491151989158,3.20339702244631,1.9025049128887,4.0065955597572,1.64824689896642
SC422905-MB4,Study,TV 0010,31549,Month12,Month6,KingFisher,Buccal Cells,-80C,122,4.73824019510886,0.683656004308339,11.196443611705,-0.17971651259619,-0.26799220760218,-0.0169434550431824,0.180590926116818,-0.0663986509650501,-0.0719367234283072,-0.0325014972492236,-0.0431235178575812,-0.06325534464685,-0.0926284021426268,0.0869758153982694,0,0.188373641002884,0.220165456908301,0.0570858030365463,0.0020602871723351,0.0604773526894672,0.0316016355510476,0.0423151288471901,0.0415544074297125,0.0450410472598181,0.00694158293448287,0.130115059114393,0.0175916827791689,4.23191680072617,-0.245145150961058,4.99857684905443,5.15376594423349,3.81677612910544,0.873363607768194,3.87352370707937,3.23921730643065,3.52335681903182,3.50563828106096,3.58438817937193,1.82696746645357,4.63093010059852,2.6775691673409
SC422906-MB4,Study,TV 0016,41411,Month12,Month6,KingFisher,Buccal Cells,-80C,155,5.56326537842035,0.764591844304876,10.8789751777118,0.0871524359974814,0.0864238324483924,-0.121450196311901,0.106874453899128,-0.0637622628225475,-0.000286527500061114,0.0196412131773919,0.0206217800609342,0.0311592069250133,0.0517132513842566,0.0428871555866799,0.0160585351718143,0.268286204148656,0.230856535703074,0.0350872956460844,0.0379850764289681,0.0534882036173963,0.00635096954915361,0.0517978314940475,0.0683876264760571,0.0369708531549588,0.0271666948395354,0.0203327618265678,0.00973171379585134,3.50274860348455,2.55777758472144,5.31690167960606,5.16724570946121,3.30706779190019,3.38430582689204,3.7191111405151,1.7159591256359,3.68759702934156,3.96083546842573,3.35794575283764,3.05926715557595,2.78137091461433,2.09433017357339
SC422907-MB4,Study,TV 0022,45376,Month12,Month6,KingFisher,Buccal Cells,-80C,86,4.33431407537861,0.67446864404508,7.94225236754294,-0.0006082141860932,-0.150451939451788,-0.0108795669141643,-0.140458171065489,0.120746885911446,0.153459938295518,-0.0107327525271187,-0.0404073238859754,-0.0303497562093513,-0.0644886800592977,0.0718441466854725,0.00561971086036671,0.193362129760226,0.329579513399154,0.0310736953455571,0.00304125528913963,0.0634917136812412,0.00403296897038082,0.041299365303244,0.0494754936530324,0.0207598730606488,0.0261812411847673,0.116625528913963,0.010291784203103,4.08111987965161,1.6828493900401,5.06252076501587,5.59364491325399,3.26083393228221,1.18935305657148,3.95933444321726,1.40880776026872,3.53756977901502,3.71428564202711,2.87286528608764,3.09532477077756,4.56030379223404,2.21687309733527
SC422908-MB4,Study,TV 0006,43527,Month12,Month6,KingFisher,Buccal Cells,-80C,124,4.57879838164387,0.658422365040935,10.4738560878103,0.0780696572564598,-0.0905731474129757,-0.0767465876188607,0.00663208661801324,-0.042289902663166,-0.00114464246203351,-0.0043775061739809,-0.0391092164103023,-0.02264653245145,-0.0511158081686386,0.0413306683208124,0.00457187492820548,0.214188894249546,0.371769246674478,0.0247662370482689,0.00939646656098514,0.0374020722769775,0.00889103315183679,0.0382291451283112,0.0526799457807797,0.0346221885266616,0.0100627196912261,0.0984446435545753,0.0149332598157465,3.52243536933459,1.49465513576162,5.14843974688628,5.69788311316016,3.02598851994591,2.11838952124393,3.42503495026129,2.0685521310469,3.44634349528719,3.75996300919524,3.34989224350214,2.18050439580816,4.37652466973882,2.54533226332158
